#Your search parameters are:
#catalog=ANSS
#start_time=2011/01/01,00:00:00
#end_time=2017/01/01,00:00:00
#minimum_magnitude=3.4
#maximum_magnitude=10
#event_type=E
#polygon=35,-125,42,-125,42,-120,39,-120,36.77,-117,35,-177,35,-177
DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
2011/01/01 23:57:23.47,38.8325,-119.7924,9.56,3.55,ML,28,160,10,0.10,NN,323953
2011/01/02 22:40:11.41,40.3157,-124.5935,17.31,3.79,ML,34,241,25,0.19,NC,71504445
2011/01/08 00:10:16.74,37.2872,-121.6582,9.59,4.10,Mw,223,55,6,0.18,NC,71506865
2011/01/12 08:51:03.68,36.7712,-121.4963,7.66,4.50,Mw,105,35,2,0.19,NC,71508850
2011/01/13 03:54:34.98,36.8018,-121.5405,7.33,3.68,Mw,99,28,3,0.17,NC,71509330
2011/01/13 04:00:35.89,36.8028,-121.5417,7.17,3.92,Mw,119,30,3,0.18,NC,71509345
2011/01/17 07:10:12.34,39.8740,-120.4775,8.70,3.69,ML,26,87,5,0.12,NN,324687
2011/02/08 00:28:40.89,37.2564,-117.8338,7.81,3.83,ML,23,155,17,0.14,NN,326062
2011/02/23 04:49:41.51,39.4993,-122.9488,11.43,4.29,Mw,60,48,2,0.13,NC,71527390
2011/02/23 04:50:14.36,39.4938,-122.9565,9.94,4.21,Mw,41,69,2,0.10,NC,71048354
2011/03/01 02:19:47.01,38.8153,-122.8200,2.27,4.43,Mw,88,24,1,0.08,NC,71530230
2011/03/03 02:58:17.22,37.3993,-118.3732,13.30,3.49,Mw,45,109,6,0.06,NC,71531805
2011/03/03 05:33:06.59,36.8093,-121.5402,6.31,3.41,ML,112,31,3,0.16,NC,71531880
2011/03/20 08:17:01.48,38.7867,-122.7720,-0.12,3.49,ML,69,32,2,0.09,NC,71545401
2011/03/21 20:42:26.86,39.1217,-123.4178,4.55,3.47,Mw,81,178,14,0.17,NC,71546011
2011/03/24 21:20:39.72,40.0615,-120.0457,10.88,3.65,ML,25,138,22,0.08,NN,330341
2011/03/24 21:45:22.90,40.0610,-120.0447,10.75,3.41,ML,26,138,22,0.08,NN,330355
2011/03/31 11:58:49.63,40.4273,-124.2182,25.40,3.60,Mw,23,165,8,0.11,NC,71545165
2011/04/26 17:43:08.35,38.8127,-122.8173,2.74,3.90,Mw,86,25,1,0.06,NC,71566046
2011/05/02 10:53:02.96,39.4622,-122.9373,14.66,3.40,Mw,90,35,4,0.27,NC,71568806
2011/05/17 15:20:06.82,39.2293,-123.1818,8.38,3.74,Mw,67,70,11,0.11,NC,71571370
2011/05/20 19:57:06.42,37.9820,-118.7724,8.37,3.55,ML,29,71,5,0.18,NN,338076
2011/05/28 22:55:24.90,38.7920,-122.7632,2.84,3.73,Mw,95,31,1,0.09,NC,71576830
2011/06/14 12:20:47.77,40.2947,-124.3777,19.44,3.69,Mw,25,243,8,0.19,NC,71584880
2011/07/06 07:18:52.36,36.6652,-121.2928,7.19,3.80,Mw,88,39,2,0.06,NC,71596420
2011/08/05 01:18:42.83,40.3980,-124.9587,8.55,3.55,Mw,86,246,53,0.23,NC,71613855
2011/08/09 16:28:08.09,41.5190,-120.4940,17.40,3.40,Mw,26,,,0.00,NC,201108092035
2011/08/17 09:02:51.08,38.7913,-122.7475,1.98,3.67,Mw,104,28,1,0.08,NC,71621065
2011/08/24 06:36:54.06,37.7438,-122.1487,8.09,3.60,Mw,287,20,2,0.17,NC,71625060
2011/08/24 11:59:51.29,37.5457,-118.8722,7.64,4.23,Mw,53,70,6,0.04,NC,71625245
2011/09/26 09:01:23.33,38.6032,-122.3892,6.77,3.43,Mw,146,74,5,0.17,NC,71653621
2011/10/07 22:10:10.06,36.9438,-117.5422,7.43,4.04,ML,30,74,17,0.17,NN,427231
2011/10/15 11:42:29.99,37.8985,-118.5738,8.20,4.30,ML,22,66,2,0.15,NN,351304
2011/10/20 21:41:04.26,37.8570,-122.2527,7.99,3.95,Mw,325,14,1,0.17,NC,71667366
2011/10/21 03:16:05.26,37.8608,-122.2567,7.94,3.84,Mw,344,14,0,0.17,NC,71667591
2011/10/27 06:37:08.57,39.6086,-120.4730,15.64,5.06,ML,37,120,2,0.13,NN,352789
2011/10/27 12:36:44.46,37.8667,-122.2605,7.99,3.62,Mw,297,13,1,0.17,NC,71671256
2011/10/30 13:25:19.16,39.6154,-120.4715,15.13,4.05,ML,23,146,2,0.09,NN,353251
2011/11/09 06:56:39.16,35.4590,-126.9030,10.00,4.00,Mb,134,,,0.97,NEI,201111092010
2011/11/14 22:33:33.44,37.4873,-118.8382,2.09,3.48,ML,51,75,11,0.07,NC,71681266
2011/11/21 09:39:03.63,38.5442,-119.5036,7.48,3.83,ML,25,124,7,0.10,NN,356214
2012/01/17 09:55:00.52,40.5280,-124.7825,23.58,4.28,Mw,72,225,38,0.17,NC,71718846
2012/01/24 12:11:28.89,38.9693,-122.6930,2.58,3.80,Mw,98,43,4,0.10,NC,71717085
2012/02/13 04:47:12.81,38.7927,-122.7432,0.48,4.16,Mw,91,34,1,0.07,NC,71729135
2012/02/13 21:07:02.77,41.1432,-123.7903,27.36,5.60,Mw,47,72,20,0.27,NC,71734741
2012/02/16 02:09:14.05,38.0767,-122.2328,8.83,3.55,Mw,263,21,1,0.20,NC,71736351
2012/02/16 17:13:20.58,38.0782,-122.2340,8.25,3.54,Mw,273,21,1,0.20,NC,71736656
2012/02/25 05:17:15.50,40.2795,-124.3138,19.40,4.28,Mw,24,183,4,0.17,NC,71741671
2012/02/29 05:00:33.00,41.1427,-123.7933,30.32,3.73,Mw,40,68,19,0.13,NC,71743876
2012/03/05 13:33:12.59,37.9268,-122.3038,8.07,3.44,ML,237,18,1,0.17,NC,71746761
2012/03/05 13:33:20.45,37.9268,-122.3103,8.09,3.99,Mw,281,13,0,0.19,NC,71746766
2012/03/14 06:30:20.99,39.0212,-122.5773,3.93,3.40,Mw,75,51,8,0.13,NC,71747540
2012/03/19 09:50:22.44,40.4112,-124.5868,22.41,3.61,Mw,32,243,22,0.14,NC,71749970
2012/04/13 22:18:54.27,36.8917,-121.6278,6.76,3.48,Mw,94,48,3,0.10,NC,71764230
2012/04/17 20:31:35.11,40.9737,-124.4222,19.02,4.15,Mw,68,188,37,0.14,NC,71766345
2012/04/27 08:38:37.57,40.3768,-124.9858,9.75,3.83,Mw,68,247,56,0.16,NC,71771805
2012/05/05 09:23:23.06,38.7957,-122.7608,1.83,4.25,Mw,98,34,1,0.07,NC,71776130
2012/05/13 12:38:52.01,38.7873,-122.7757,2.85,3.90,Mw,96,20,1,0.07,NC,71784801
2012/06/03 17:31:37.00,37.2613,-121.6357,8.09,3.52,Mw,247,30,9,0.16,NC,71795731
