Your search parameters are:
catalog=ANSS
start_time=1989/10/18,00:00:00
end_time=1989/10/25,00:00:00
minimum_magnitude=2.0
maximum_magnitude=10
event_type=E
DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
1989/10/18 00:04:15.19,37.0362,-121.8798,17.21,7.00,ML,80,89,1,0.08,NC,216859
1989/10/18 00:07:15.29,37.2382,-121.9445,9.37,4.70,ML,8,81,16,0.16,NC,10090521
1989/10/18 00:07:43.30,36.9880,-121.7413,15.26,4.70,ML,12,121,8,0.06,NC,10090522
1989/10/18 00:08:21.99,37.0702,-121.8940,10.43,4.40,ML,11,133,7,0.16,NC,10090523
1989/10/18 00:08:45.47,37.0760,-121.9250,2.96,4.30,ML,6,248,14,0.03,NC,10090509
1989/10/18 00:09:29.53,37.1577,-121.9610,1.62,3.41,Mx,5,237,19,0.02,NC,10090510
1989/10/18 00:09:55.91,37.0333,-121.7245,4.57,4.00,ML,7,130,39,0.08,NC,10090511
1989/10/18 00:11:45.39,37.1662,-121.9860,9.43,4.20,ML,16,82,4,0.04,NC,10090512
1989/10/18 00:12:42.30,37.1760,-121.9782,5.19,4.60,ML,18,183,5,0.05,NC,10090513
1989/10/18 00:13:08.67,37.1748,-122.0335,11.31,4.32,Mx,17,68,1,0.14,NC,10090503
1989/10/18 00:15:10.89,37.0057,-121.7867,14.39,4.40,ML,33,97,5,0.09,NC,10090504
1989/10/18 00:15:48.78,37.1613,-122.0005,7.15,2.55,Md,8,149,3,0.04,NC,10090505
1989/10/18 00:16:14.52,37.1835,-121.9632,1.59,3.26,Md,12,114,6,0.04,NC,10090506
1989/10/18 00:16:34.79,37.1682,-121.9940,8.39,2.96,Md,20,59,3,0.08,NC,10090507
1989/10/18 00:16:54.47,37.0982,-121.9097,3.38,4.10,ML,27,98,13,0.11,NC,10090508
1989/10/18 00:17:13.54,37.1352,-122.0075,12.21,3.39,Mx,10,115,4,0.07,NC,10090497
1989/10/18 00:17:33.27,37.2010,-121.9910,9.13,4.00,ML,12,186,6,0.08,NC,10090498
1989/10/18 00:17:56.77,37.1417,-122.0525,22.20,3.25,Mx,4,199,10,0.01,NC,10090499
1989/10/18 00:19:01.45,37.1612,-121.8715,5.32,2.55,Md,11,120,11,0.40,NC,10090500
1989/10/18 00:19:17.23,37.1630,-121.9817,10.16,4.00,ML,34,93,4,0.04,NC,10090501
1989/10/18 00:20:32.53,37.1695,-121.9803,6.03,3.19,Md,19,82,4,0.04,NC,10090491
1989/10/18 00:21:04.28,37.0728,-121.8682,7.56,3.50,ML,19,138,18,0.05,NC,10090492
1989/10/18 00:22:07.05,37.0950,-121.8848,6.96,2.94,Md,13,75,5,0.02,NC,10090493
1989/10/18 00:22:30.30,37.0395,-121.8342,12.56,3.11,Md,6,139,7,0.03,NC,10090494
1989/10/18 00:22:56.14,36.9437,-121.6783,6.49,3.60,Md,38,93,10,0.09,NC,10090495
1989/10/18 00:23:37.53,37.0443,-121.7622,7.16,3.90,ML,44,69,10,0.10,NC,10090484
1989/10/18 00:24:35.83,37.1910,-122.0335,7.98,3.50,ML,54,56,3,0.59,NC,10090485
1989/10/18 00:25:04.58,37.0523,-121.7798,5.49,4.80,ML,44,65,13,0.09,NC,10090486
1989/10/18 00:27:11.69,37.1200,-121.8927,1.94,3.30,ML,31,129,5,0.15,NC,10090488
1989/10/18 00:28:45.36,36.9565,-121.7133,13.59,3.30,ML,38,82,13,0.10,NC,145642
1989/10/18 00:29:53.94,37.1255,-121.9558,5.06,3.20,ML,29,130,8,0.27,NC,145641
1989/10/18 00:30:41.23,37.1193,-121.9860,15.44,4.20,ML,34,101,6,0.08,NC,146266
1989/10/18 00:33:36.55,37.1398,-122.0035,6.57,3.20,ML,35,88,4,0.08,NC,10090669
1989/10/18 00:34:28.31,37.1790,-121.9640,15.96,2.45,Md,12,141,3,0.10,NC,10090670
1989/10/18 00:34:58.30,37.1372,-121.9835,-0.54,2.74,Md,15,65,5,0.28,NC,10090671
1989/10/18 00:35:25.70,37.1935,-122.0425,11.87,3.90,ML,33,77,3,0.10,NC,10090673
1989/10/18 00:36:12.26,37.1010,-121.8697,1.53,2.67,Md,16,114,7,0.18,NC,10090674
1989/10/18 00:36:47.05,37.0013,-121.7652,-0.19,2.85,Md,20,72,5,0.41,NC,10090677
1989/10/18 00:37:13.30,37.0668,-121.9062,15.25,3.10,ML,39,57,6,0.05,NC,10090678
1989/10/18 00:38:28.04,37.1685,-121.9882,10.43,4.30,ML,49,58,4,0.07,NC,10090722
1989/10/18 00:39:58.40,37.1538,-121.9653,9.58,2.99,Md,34,57,3,0.06,NC,10090723
1989/10/18 00:40:57.75,37.1908,-121.9727,3.73,3.10,ML,40,66,2,0.16,NC,10090724
1989/10/18 00:41:23.77,37.1902,-122.0520,15.31,5.10,ML,50,57,3,0.09,NC,10090725
1989/10/18 00:42:57.45,37.1585,-121.9575,7.67,3.35,Md,35,54,3,0.09,NC,10090726
1989/10/18 00:43:29.42,37.1158,-121.9148,6.74,3.09,Md,34,50,6,0.16,NC,10090727
1989/10/18 00:45:38.64,36.9510,-121.6788,7.97,4.00,ML,39,95,11,0.06,NC,10090732
1989/10/18 00:46:36.57,37.0703,-121.8682,13.47,2.64,Md,17,99,16,0.16,NC,10090733
1989/10/18 00:46:59.44,36.8392,-121.5323,4.95,2.96,Md,7,204,6,0.01,NC,10090734
1989/10/18 00:47:24.32,37.1638,-121.9865,8.50,2.23,Md,18,84,4,0.15,NC,10090735
1989/10/18 00:47:59.22,36.8352,-121.5383,5.39,3.33,Md,13,192,5,0.02,NC,10090736
1989/10/18 00:48:01.15,37.2012,-122.0568,14.65,2.91,Md,17,67,5,0.08,NC,10090765
1989/10/18 00:48:26.70,37.1655,-122.0142,11.56,2.78,Md,27,63,1,0.05,NC,10090737
1989/10/18 00:48:45.31,37.1947,-122.0558,12.33,2.59,Md,20,55,4,0.06,NC,10090738
1989/10/18 00:49:25.48,37.1822,-121.9888,6.67,2.18,Md,14,138,2,0.05,NC,10090739
1989/10/18 00:49:38.83,37.1192,-121.9965,11.18,2.59,Md,12,180,6,0.06,NC,10090740
1989/10/18 00:53:17.76,37.0957,-121.9303,9.35,2.71,Md,31,62,8,0.04,NC,10090743
1989/10/18 00:53:41.89,37.0983,-121.9960,9.87,2.81,Md,7,141,8,0.02,NC,10090744
1989/10/18 00:55:59.00,36.9883,-121.7270,9.12,2.61,Md,22,81,5,0.04,NC,10090767
1989/10/18 00:56:59.47,36.9570,-121.6417,9.57,2.89,Md,20,119,3,0.28,NC,10090768
1989/10/18 00:58:01.13,37.1645,-121.9650,4.81,2.77,Md,20,59,3,0.07,NC,10090770
1989/10/18 00:58:27.10,37.1912,-121.9852,6.08,2.57,Md,21,38,1,0.07,NC,10090771
1989/10/18 00:58:41.97,37.1590,-121.9775,9.85,2.73,Md,18,88,4,0.03,NC,10090786
1989/10/18 00:58:56.27,37.1220,-121.9743,14.26,3.90,ML,29,143,6,0.10,NC,10090773
1989/10/18 01:00:50.83,37.0188,-121.9128,15.38,3.09,Md,22,132,8,0.37,NC,10090777
1989/10/18 01:01:14.59,37.1083,-121.8465,3.47,2.44,Md,10,84,1,0.06,NC,10090778
1989/10/18 01:01:27.38,36.9637,-121.7228,13.58,3.10,ML,43,75,3,0.07,NC,10090779
1989/10/18 01:02:27.74,37.1857,-122.0060,7.75,2.83,Md,13,72,2,0.10,NC,10090780
1989/10/18 01:03:23.94,36.5540,-89.6050,8.30,2.00,ML,,,,,NM,
1989/10/18 01:03:36.62,37.1735,-121.9982,6.98,2.35,Md,29,58,3,0.10,NC,10090789
1989/10/18 01:03:52.97,37.1143,-121.9680,9.62,2.19,Md,13,118,7,0.08,NC,10090790
1989/10/18 01:03:58.99,37.1142,-121.8412,3.12,3.70,ML,39,87,5,0.08,NC,10090782
1989/10/18 01:05:33.79,37.1362,-121.9917,13.18,3.10,ML,33,94,5,0.08,NC,10090783
1989/10/18 01:05:53.62,37.0963,-121.8550,10.34,3.09,Md,27,53,2,0.16,NC,10090785
1989/10/18 01:07:39.79,36.9798,-121.7040,6.91,3.09,Md,41,89,3,0.07,NC,10090317
1989/10/18 01:08:08.86,37.1943,-122.0433,14.34,3.60,ML,41,55,3,0.05,NC,10090361
